category,item,PC1,PC2,PC3,PC4,PC5,PC6
Breakfast,Egg McMuffin,1.7671229658419463,-1.2849657067587397,-0.10250480399701119,-0.5333319524625144,-0.5951536292309717,-1.0750944948857188
Breakfast,Egg White Delight,0.3363928460470588,-1.1908151552005424,0.3481770571983473,-0.6236802725163606,1.2868766824309155,-0.044422941801775764
Breakfast,Sausage McMuffin,1.1603099249516395,-1.0121722480616917,-0.024962730292308576,-0.4316476642164396,0.6293030379518195,0.16003084787403604
Breakfast,Sausage McMuffin with Egg,2.89649261080757,-0.9674245791790026,-0.3427209223058191,-0.5268917784372509,-0.9576092726897484,-1.1782064457090144
Breakfast,Sausage McMuffin with Egg Whites,1.4675870180731392,-1.062605928617669,-0.06054481046431976,-0.4350217022006281,0.8928150878658349,0.03400522183368651
Breakfast,Steak & Egg McMuffin,3.2472718210035367,-1.1831517907096645,-0.15201056400446905,-0.5482188116275547,-0.702183061626193,-1.3637020393104295
Breakfast,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",2.52799031666847,-1.0510506938630284,-1.024945420751694,0.19231613244438012,-1.3524527940905557,-0.7407818412320666
Breakfast,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",3.317615446428328,-1.0608421328227546,-0.6364781575447261,0.07615244959588259,-1.1165718473230812,-0.5761901496690883
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",1.2241683234044274,-1.0442108868059963,-0.7346270800713194,0.17217549664689205,0.4416081443903245,0.13030949344186116
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",1.979678815314334,-1.1474926924605304,-0.38525420544303296,0.16563048718472934,0.5995834086874906,0.5075791602169881
Breakfast,Sausage Biscuit (Regular Biscuit),1.11070561677369,-1.261893137675857,-1.195561775842807,0.21060410141586802,-0.10957921991560828,0.6853055233358768
Breakfast,Sausage Biscuit (Large Biscuit),1.661009167965363,-1.2080803973481267,-0.8425544926869227,0.173765476685202,0.033998019138665694,0.9895179636803572
Breakfast,Sausage Biscuit with Egg (Regular Biscuit),2.782636329218164,-1.2063388429978779,-1.4945277594610769,0.16700595807643837,-1.5259655627276603,-0.47763263976497367
Breakfast,Sausage Biscuit with Egg (Large Biscuit),3.321575081874335,-1.2010560887376527,-1.1564959335791967,0.16095719900750344,-1.4342062437736511,-0.09497677341736861
Breakfast,Sausage Biscuit with Egg Whites (Regular Biscuit),1.436512498541643,-1.2310216722093248,-1.1615698343655063,0.14309655918717723,0.16024251312341803,0.49990980226527465
Breakfast,Sausage Biscuit with Egg Whites (Large Biscuit),1.9937636693564107,-1.2546482623374384,-0.8296148588108415,0.13281216096351045,0.26142817472143454,0.8799370545946997
Breakfast,Southern Style Chicken Biscuit (Regular Biscuit),0.967051066157446,-1.3226719941446792,-0.87035925859404,0.19465570809724014,0.3860467843012752,0.5742767153468543
Breakfast,Southern Style Chicken Biscuit (Large Biscuit),1.509077133875343,-1.3127890332592662,-0.5334780758432963,0.13358610219270448,0.5140830142540426,0.8412577361376228
Breakfast,Steak & Egg Biscuit (Regular Biscuit),3.818064682599837,-1.061461758741734,-1.252303869295845,0.017431571593968354,-1.2397475112884102,-0.9419477199699898
Breakfast,"Bacon, Egg & Cheese McGriddles",2.260146619096311,-0.7274939472631266,-0.5631824784577815,0.2107267438350514,-0.9763480339312404,-0.7953412664522915
Breakfast,"Bacon, Egg & Cheese McGriddles with Egg Whites",0.91784094237367575,-0.7987266732377581,-0.27505458355998574,0.2851500400921475,0.7500548000422494,0.32003793240486156
Breakfast,Sausage McGriddles,0.6125801112930797,-0.8494290593113575,-0.7784186936800803,0.23768421559907732,0.16681859763782014,0.8109413412690891
Breakfast,"Sausage, Egg & Cheese McGriddles",2.921632875570916,-0.55131984563448,-1.0378165745699701,0.062260201049563306,-1.2538267699662766,-0.5971067421110319
Breakfast,"Sausage, Egg & Cheese McGriddles with Egg Whites",1.6178108823068733,-0.544480038577448,-0.7474982338895958,0.0421195652520754,0.5402341685146039,0.273984592562896
Breakfast,"Bacon, Egg & Cheese Bagel",3.7644503366402136,-0.8945039067780394,-0.2782987611337,0.22812220694617424,-0.9270212229785217,-0.7810935917292195
Breakfast,"Bacon, Egg & Cheese Bagel with Egg Whites",2.423688551186655,-0.9102673003488595,0.03435473300539797,0.24635770944685798,0.9260635589959305,0.13451315983479706
Breakfast,"Steak, Egg & Cheese Bagel",4.457753724260934,-0.7742918977390717,-0.5226065378722635,-0.11852904234177795,-0.8534348643947837,-0.89471454639854
Breakfast,Big Breakfast (Regular Biscuit),5.841932665355086,-1.1035979340043667,-1.616905861330719,0.30451199669738005,-3.3234003263125853,-1.5702328444883906
Breakfast,Big Breakfast (Large Biscuit),6.6033060442336335,-1.2332603287590553,-1.3890096296394685,0.38367162502551844,-3.1020615265365614,-1.208293882117883
Breakfast,Big Breakfast with Egg Whites (Regular Biscuit),2.8018745006649195,-1.1054319662369925,-0.8816881408431096,0.3595899981014705,0.6649918876089281,0.9308183700966635
Breakfast,Big Breakfast with Egg Whites (Large Biscuit),3.317582909869518,-1.1613087029160711,-0.5481192630275219,0.3221052145383221,0.7627559648554156,1.2704654086364089
Breakfast,Big Breakfast with Hotcakes (Regular Biscuit),8.64386535863208,-0.1920695596912309,-0.9221209934014171,0.8089174807980403,-2.3627544501153857,-0.6345581155247714
Breakfast,Big Breakfast with Hotcakes (Large Biscuit),9.198578845755616,-0.06269857499720492,-0.671859395431909,0.8147037278026664,-2.1083646438830446,-0.4676205129003634
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),5.653089487206553,-0.053071198093984286,-0.14747310091992494,0.7851176317184311,1.764039096770957,1.655408888293888
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),6.170818807023679,-0.1000781230571747,0.18192560076160963,0.7519055323901906,1.8510197032635065,1.9991083032168457
Breakfast,Hotcakes,-0.1519174806162188,-0.6664364538370056,-0.13436397669438088,0.06485555011088667,0.7322131049556275,0.6285096542259123
Breakfast,Hotcakes and Sausage,1.228855781357131,-0.5680764412489215,-0.5689124848421815,0.24532732212252192,0.4653833056429036,0.6653070124415268
Breakfast,Sausage Burrito,0.5799648634877262,-1.2577248614285994,-0.6805684573691995,-0.27506260057927784,-0.4225758734541606,-0.40618433071831733
Breakfast,Hash Brown,-1.82978064933654,-1.7394374835247517,-0.5502722223833703,-0.11752809027269301,-0.02736176798515383,0.505288027269331
Breakfast,Cinnamon Melts,0.3709285064574723,-0.09021704004012793,-0.28828006909603227,0.43336652501822037,-0.027715766680487086,1.4408618467194692
Breakfast,Fruit & Maple Oatmeal,-0.7184108717103956,-1.1652835575671237,3.2100197739179768,3.748600442938133,0.4800706175068238,-0.2527670189148176
Breakfast,Fruit & Maple Oatmeal without Brown Sugar,-0.6603185704669334,-1.785063278831868,3.298323196687716,3.627477667410418,0.5102701590864577,-0.19971446548471217
Beef & Pork,Big Mac,2.522169548612072,-0.7991201095411579,-0.3107175927091977,-0.0944067939501529,0.6894559826337052,-0.021531292632815363
Beef & Pork,Quarter Pounder with Cheese,2.909667847721785,-0.6388573613859226,-0.39520683332641154,-0.28539668633301846,0.6771394136584594,-0.4505697211605162
Beef & Pork,Quarter Pounder with Bacon & Cheese,3.75276455140971,-0.9473099767175995,-0.2449168996017966,0.291122789262366,0.9306133867727944,-0.3734982711354923
Beef & Pork,Quarter Pounder with Bacon Habanero Ranch,3.739000911023916,-1.0143632394367659,0.010978497114796426,0.349937097859227,0.838343088970423,-0.42708324290179367
Beef & Pork,Quarter Pounder Deluxe,2.975306751621096,-0.9364061905478498,-0.09772541482254174,-0.0521841594088977,0.7589816426584804,-0.19011153931247995
Beef & Pork,Double Quarter Pounder with Cheese,5.228685294977309,-0.6377544542340321,-0.8670172238235405,-0.14301777700339097,0.46687214960791457,-0.787344455392335
Beef & Pork,Hamburger,-0.39239432559774584,-1.2830140290623513,-0.4218400440868409,-0.13494854683366297,0.39959173776950785,0.10755804968143082
Beef & Pork,Cheeseburger,0.29008250174370437,-0.9642963055305936,-0.36298885299281797,-0.2954045042322703,0.4660963749590278,-0.22233830215966682
Beef & Pork,Double Cheeseburger,1.9584731043508028,-0.6761536448114689,-0.48958546210990367,-0.37531601089481603,0.44997507506486645,-0.6527703264120337
Beef & Pork,Bacon Clubhouse Burger,4.2764542358201725,-0.6129016444193466,-0.060775945789543984,0.6034829059122554,0.7885335682630439,-0.46302061565300656
Beef & Pork,McDouble,1.2867559105303668,-1.0283980408171765,-0.54859197017858,-0.24413629851721422,0.40842093804912516,-0.37222580793749793
Beef & Pork,Bacon McDouble,1.9662419785931224,-1.0414883320033133,-0.5353023371930535,0.058603251152941654,0.3995559599219353,-0.46000785377357883
Beef & Pork,Daily Double,1.527589963408663,-1.0191987392526212,-0.4094994558455999,-0.06409194412612147,0.258402287230534,-0.35472835634209765
Beef & Pork,Jalapeño Double,1.6897786844549203,-1.0553146701092742,-0.5569211227374876,0.022628688882513404,0.3359897563930929,-0.319286570119121
Beef & Pork,McRib,1.9007153268257162,-0.9312224521805983,-0.63126317812554,0.12024687080971513,0.43551299155807943,0.2812860263810867
Chicken & Fish,Premium Crispy Chicken Classic Sandwich,1.5949488067310353,-1.1416568220079581,0.026149606868406467,0.10192788976470969,1.0846455214030337,0.4340157512023899
Chicken & Fish,Premium Grilled Chicken Classic Sandwich,1.1207854126359473,-1.447317459128644,0.24362859351151506,-0.12099322878265255,1.1858833952062535,-0.11824491906032608
Chicken & Fish,Premium Crispy Chicken Club Sandwich,3.2750320927523857,-0.6818921038246485,0.18861991617183022,0.3571623501106175,1.2199300239788546,-0.31442110911604415
Chicken & Fish,Premium Grilled Chicken Club Sandwich,2.765450847655195,-0.9438209415909479,0.30004397034465535,0.08628157353634833,1.2786307950989522,-0.8822844159671359
Chicken & Fish,Premium Crispy Chicken Ranch BLT Sandwich,2.5870722565637587,-1.1883748335420743,0.10180431773940453,0.5898905572707533,1.0840199611677908,0.23538144242232506
Chicken & Fish,Premium Grilled Chicken Ranch BLT Sandwich,2.0939024932385166,-1.5356774691129407,0.2701290816966419,0.2830278082468167,1.1845797538377882,-0.3324359744892811
Chicken & Fish,Bacon Clubhouse Crispy Chicken Sandwich,3.624406486990689,-0.4167095819105997,0.22418271105383733,0.6747042191324587,1.135828715369417,-0.08082992800081507
Chicken & Fish,Bacon Clubhouse Grilled Chicken Sandwich,3.1257290646432168,-0.7906314194145538,0.49381022122488816,0.5097871956516945,1.2261369297188218,-0.7071466068518137
Chicken & Fish,Southern Style Crispy Chicken Sandwich,0.7138602366332525,-1.139581688351206,-0.399569019551118,-0.11751773995602259,0.7833495012748377,0.09252493195748118
Chicken & Fish,McChicken,0.22278452635657076,-1.3290003072989154,-0.5304048120896744,0.01869749202599858,0.565609710068577,0.3197377453424971
Chicken & Fish,Bacon Cheddar McChicken,1.5697945617829805,-1.0406025864502808,-0.44660083567127706,0.15377604097720338,0.6447951365248923,-0.10371806058882888
Chicken & Fish,Bacon Buffalo Ranch McChicken,1.126826160009175,-1.2433260378618753,-0.45825822969801994,0.2178892131477988,0.6914647318147868,0.059318340505601336
Chicken & Fish,Buffalo Ranch McChicken,0.4061861835394022,-1.2393665797500775,-0.4786531216526127,-0.07964222374947504,0.681568470736642,0.17598324404170793
Chicken & Fish,Premium McWrap Chicken & Bacon (Crispy Chicken),3.241726861457119,-0.9684013782414626,1.4973332330424505,-0.6157924907427704,0.11584156475131374,0.32516726031074783
Chicken & Fish,Premium McWrap Chicken & Bacon (Grilled Chicken),2.7227161103385233,-1.3222836830729658,1.7772077696747701,-0.780746559303711,0.20750690721064913,-0.30257318090528307
Chicken & Fish,Premium McWrap Chicken & Ranch (Crispy Chicken),2.8384521053317884,-0.9098945776145007,1.5333539379118601,-0.760668013200208,0.11265247416195595,0.5315276453106412
Chicken & Fish,Premium McWrap Chicken & Ranch (Grilled Chicken),2.2777578613736003,-1.3987248943680526,1.6693416240650065,-0.9939074303580042,0.07853249640397675,0.16672695559556372
Chicken & Fish,Premium McWrap Southwest Chicken (Crispy Chicken),3.3379860009659517,-0.7876836713872396,1.8247965676053801,-0.6336670427719403,0.3291719723117772,0.9739257794032942
Chicken & Fish,Premium McWrap Southwest Chicken (Grilled Chicken),2.9444771554884506,-1.1354979849078015,2.3217432543272034,-1.15765268759068,0.29304324674106796,0.49044693452182103
Chicken & Fish,Premium McWrap Chicken Sweet Chili (Crispy Chicken),2.020343481888181,-1.1589351303005548,1.6686456312398967,-0.6306080033667617,9.152397378614507e-4,1.0141014845192782
Chicken & Fish,Premium McWrap Chicken Sweet Chili (Grilled Chicken),1.5483831514019855,-1.4539480866480052,1.8456035193974802,-0.9103074121313929,0.10625374486931832,0.48524051903231946
Chicken & Fish,Chicken McNuggets (4 piece),-1.5227290015964217,-1.695594351577991,-0.8625524152757844,-0.13448089891414194,-0.1584676713625814,0.08439363949284628
Chicken & Fish,Chicken McNuggets (6 piece),-0.754929426750246,-1.643042818628277,-0.8381693739983909,-0.07271967713319161,-0.01045530951405122,0.15227816162011706
Chicken & Fish,Chicken McNuggets (10 piece),0.6246396903162619,-1.5849693917873275,-0.8925845873350504,0.16570632448009848,0.12288013067921075,0.30504928780930207
Chicken & Fish,Chicken McNuggets (20 piece),4.0986039034730375,-1.3838723428864272,-0.9899163340214457,0.7090453289511675,0.5187307287588115,0.6910921823471691
Chicken & Fish,Chicken McNuggets (40 piece),11.285977027299726,-1.1304333232666608,-1.2086239102127332,1.7558791940491356,1.3149968245523749,1.4329441860122616
Chicken & Fish,Filet-O-Fish,0.09347695574411438,-0.9664552870046701,-0.5388110893943167,-0.1308709302148573,0.42985036222828077,0.1095605784544422
Salads,Premium Bacon Ranch Salad (without Chicken),-0.24403880586742166,-1.3626556510271666,5.098722838868036,-3.256757843244284,-2.344053690965205,0.25405250099217735
Salads,Premium Bacon Ranch Salad with Crispy Chicken,1.195826835501195,-1.3305217821782596,2.677260798973984,-1.7027305773652288,-1.0628755847663354,-0.0860797415659375
Salads,Premium Bacon Ranch Salad with Grilled Chicken,0.7524438090961573,-1.6155664793642739,3.2367494068062763,-2.0494357688246176,-1.1319547513543646,-0.6249100808633253
Salads,Premium Southwest Salad (without Chicken),0.06458345053442993,-1.4632919038956194,5.537926856952539,-3.166530005343826,-1.6220973956200382,0.948539825415217
Salads,Premium Southwest Salad with Crispy Chicken,2.5512613556662282,-1.3614365635627323,5.940348238438069,-2.9478803849076365,-1.3308799532984676,1.3036492113958913
Salads,Premium Southwest Salad with Grilled Chicken,2.0580915923409866,-1.7087391991335987,6.108673002395306,-3.254743133931573,-1.23032016062847,0.735831794484285
Snacks & Sides,Chipotle BBQ Snack Wrap (Crispy Chicken),-0.00313106830179756,-1.1205490984846163,-0.5623439969316419,-0.12313199492237405,0.333916798698644,0.29741333498877087
Snacks & Sides,Chipotle BBQ Snack Wrap (Grilled Chicken),-0.24295896084904334,-1.2704360453594903,-0.43562898344185313,-0.20522814673602846,0.3735733175075687,0.008438109811675011
Snacks & Sides,Honey Mustard Snack Wrap (Crispy Chicken),-0.12033670927161427,-1.230435614158928,-0.6916336943400095,-0.13060813655656003,0.3162594281436159,0.16408834936009886
Snacks & Sides,Honey Mustard Snack Wrap (Grilled Chicken),-0.3439433250630788,-1.3884970853968768,-0.5678415989059589,-0.21172245398756323,0.36297785516962683,-0.12087176863034324
Snacks & Sides,Ranch Snack Wrap (Crispy Chicken),0.19337516923785406,-1.2199637384303155,-0.796203480742616,-0.08021279912749225,0.25323539874823797,0.1993370205539065
Snacks & Sides,Ranch Snack Wrap (Grilled Chicken),-0.11465431327658417,-1.4285284510339051,-0.6759524902025935,-0.18507427198680468,0.2667818546735908,-0.11328058477202316
Snacks & Sides,Small French Fries,-1.4800474052621482,-1.683601349463291,0.2876625420016651,0.7975933758458222,0.04770679548257989,0.513342935008026
Snacks & Sides,Medium French Fries,-0.8916506476134638,-1.5420281253901253,0.8074535217029333,1.3430484340543487,0.25241701275714623,0.6607604455017783
Snacks & Sides,Large French Fries,0.25631977338032924,-1.5640895191819053,1.7062506784934375,2.2740208832926068,0.545440421199576,1.0629209231934686
Snacks & Sides,Kids French Fries,-2.192183217268802,-1.7230694697990596,-0.25815224190170333,0.2102068955417411,-0.11665642265966264,0.22045653596423742
Snacks & Sides,Side Salad,-2.2243795728012423,-1.8943407108505872,1.334761704089451,-0.6554844547485243,-0.7383919246173293,0.03172487669193269
Snacks & Sides,Apple Slices,-3.0502214895956854,-2.433588303195143,2.462450879057633,4.185654896298717,-0.5811337592877887,-1.9558573033376634
Snacks & Sides,Fruit 'n Yogurt Parfait,-2.0274240655716547,-0.6875368583783686,-0.11315966040788841,0.2609124880032688,0.0367127467217509,0.0038781961696366107
Desserts,Baked Apple Pie,-0.6943680597486601,-1.2241391269779436,0.42875919305737076,0.7021789817302141,-0.07403791675636523,0.9133748201125677
Desserts,Chocolate Chip Cookie,-1.6319353811806145,-1.121478916804158,-0.6935360632222003,-0.07390086296391608,-0.3107880438828112,0.42627001043057594
Desserts,Oatmeal Raisin Cookie,-1.815065863106468,-1.1916649670463164,-0.6423209731234317,-0.11724042517534396,-0.23836988097964468,0.38699366973471305
Desserts,Kids Ice Cream Cone,-2.6775143001691175,-1.3835502637672146,-0.7475645744734245,-0.36489865588534925,-0.30156337101852404,-0.10986622255945866
Desserts,Hot Fudge Sundae,-0.7524805129803056,0.8941886835196075,-0.33450673208337073,-0.017031430862826054,-0.025320559364995138,0.12331405639543734
Desserts,Hot Caramel Sundae,-1.3874513986907178,1.055580764776111,-0.3873617615741457,-0.051138520943694546,-0.20021191773130412,0.007106095364223172
Desserts,Strawberry Sundae,-1.698703472632729,0.7049417158045755,-0.36140670481190235,0.054099678959974674,-0.25470495415363786,0.010212706088507939
Beverages,Coca-Cola Classic (Small),-2.7081300064651512,-0.2652439675292315,-0.5729032287469961,0.18369799080147942,-0.3218927922068121,0.6971615088125968
Beverages,Coca-Cola Classic (Medium),-2.6355411047149757,0.3279615489920746,-0.4792746914016226,0.4029942686961362,-0.33583018073026016,0.9982433052131751
Beverages,Coca-Cola Classic (Large),-2.530989044300788,1.1294205240865332,-0.3526102442981686,0.7027045947963192,-0.35203231646539723,1.4104566104872174
Beverages,Coca-Cola Classic (Child),-2.76996518239036,-0.7024857047008007,-0.6421289805346349,0.01765242085304365,-0.3149988633565124,0.4682547698608351
Beverages,Diet Coke (Small),-2.9022981186629297,-1.7536677784189403,-0.808137201939125,-0.3729069005274321,-0.29180311155584315,-0.06837748669633878
Beverages,Diet Coke (Medium),-2.886076841907148,-1.7618423027820147,-0.8110601199948629,-0.37192506614478077,-0.28474120333875697,-0.0643623795096849
Beverages,Diet Coke (Large),-2.886076841907148,-1.7618423027820147,-0.8110601199948629,-0.37192506614478077,-0.28474120333875697,-0.0643623795096849
Beverages,Diet Coke (Child),-2.886076841907148,-1.7618423027820147,-0.8110601199948629,-0.37192506614478077,-0.28474120333875697,-0.0643623795096849
Beverages,Dr Pepper (Small),-2.688532320181371,-0.416821975579853,-0.599997918144729,0.13762842515794424,-0.30308995052641285,0.6396603869419215
Beverages,Dr Pepper (Medium),-2.578512708836368,0.2204986958017942,-0.5006591746547476,0.38506987769455775,-0.3051867183713155,0.9837137419538008
Beverages,Dr Pepper (Large),-2.474766521699813,0.9200238272592343,-0.39185863435033297,0.6481637508433205,-0.3143767894969826,1.3476982605801817
Beverages,Dr Pepper (Child),-2.7495616228289474,-0.7521298691144036,-0.6513597631333283,0.0081993081609288,-0.30320808628558316,0.45898243463782107
Beverages,Diet Dr Pepper (Small),-2.7855138728698328,-1.7821349780597606,-0.8062582061979093,-0.3846221539776445,-0.20643009278026533,-0.09041037142987449
Beverages,Diet Dr Pepper (Medium),-2.735232388351176,-1.7922813156986335,-0.8038572492994325,-0.39097069789407635,-0.16727453750101948,-0.10343436738996942
Beverages,Diet Dr Pepper (Large),-2.6687296270767362,-1.810602177700581,-0.8043792104566937,-0.39633740742785695,-0.12105707400468749,-0.11244325616341044
Beverages,Diet Dr Pepper (Child),-2.8357953573884904,-1.7719886404208878,-0.8086591630963862,-0.37827361006121263,-0.2455856480595112,-0.07738637546977978
Beverages,Sprite (Small),-2.7089358797427843,-0.36717781116625,-0.5907671355460354,0.14708153785005912,-0.3148807275973421,0.6489327221649356
Beverages,Sprite (Medium),-2.6010074098005975,0.29087768024066135,-0.4882744597845764,0.3997404639240557,-0.31934192986916626,0.9996297983816487
Beverages,Sprite (Large),-2.478142931227812,1.0634273109467811,-0.36768686300833814,0.6952151508695069,-0.3261177229602956,1.4092144896375107
Beverages,Sprite (Child),-2.751652764231763,-0.7313950490891393,-0.6482058308618506,0.013416781698311883,-0.3055725207125047,0.465626155842655
